Freq.	V(n003)
1.24165230759241e+00	(-6.66376427207948e-04dB,-7.16854014410755e-01°)
1.24451461177138e+00	(-6.69452044041115e-04dB,-7.18506365679741e-01°)
1.24738351424294e+00	(-6.72541855076321e-04dB,-7.20162524848099e-01°)
1.25025903021771e+00	(-6.75645925821286e-04dB,-7.21822500685877e-01°)
1.25314117494141e+00	(-6.78764322071287e-04dB,-7.23486301983287e-01°)
1.25602996369487e+00	(-6.81897109931338e-04dB,-7.25153937550747e-01°)
1.25892541179416e+00	(-6.85044355802690e-04dB,-7.26825416218929e-01°)
1.26182753459066e+00	(-6.88206126412734e-04dB,-7.28500746838806e-01°)
1.26473634747115e+00	(-6.91382488771599e-04dB,-7.30179938281694e-01°)
1.26765186585784e+00	(-6.94573510218449e-04dB,-7.31862999439304e-01°)
1.27057410520854e+00	(-6.97779258382904e-04dB,-7.33549939223786e-01°)
1.27350308101666e+00	(-7.00999801232303e-04dB,-7.35240766567775e-01°)
1.27643880881134e+00	(-7.04235207026376e-04dB,-7.36935490424440e-01°)
1.27938130415752e+00	(-7.07485544348105e-04dB,-7.38634119767528e-01°)
1.28233058265602e+00	(-7.10750882096979e-04dB,-7.40336663591415e-01°)
1.28528665994361e+00	(-7.14031289485133e-04dB,-7.42043130911150e-01°)
1.28824955169313e+00	(-7.17326836054714e-04dB,-7.43753530762503e-01°)
1.29121927361353e+00	(-7.20637591657628e-04dB,-7.45467872202012e-01°)
1.29419584144998e+00	(-7.23963626474830e-04dB,-7.47186164307030e-01°)
1.29717927098395e+00	(-7.27305011006681e-04dB,-7.48908416175777e-01°)
1.30016957803328e+00	(-7.30661816075847e-04dB,-7.50634636927381e-01°)
1.30316677845229e+00	(-7.34034112849477e-04dB,-7.52364835701930e-01°)
1.30617088813183e+00	(-7.37421972791950e-04dB,-7.54099021660517e-01°)
1.30918192299940e+00	(-7.40825467731425e-04dB,-7.55837203985294e-01°)
1.31219989901920e+00	(-7.44244669803904e-04dB,-7.57579391879512e-01°)
1.31522483219223e+00	(-7.47679651482165e-04dB,-7.59325594567575e-01°)
1.31825673855640e+00	(-7.51130485584448e-04dB,-7.61075821295086e-01°)
1.32129563418657e+00	(-7.54597245250343e-04dB,-7.62830081328895e-01°)
1.32434153519466e+00	(-7.58080003966831e-04dB,-7.64588383957148e-01°)
1.32739445772973e+00	(-7.61578835556717e-04dB,-7.66350738489339e-01°)
1.33045441797808e+00	(-7.65093814179592e-04dB,-7.68117154256354e-01°)
1.33352143216332e+00	(-7.68625014346302e-04dB,-7.69887640610518e-01°)
1.33659551654643e+00	(-7.72172510896773e-04dB,-7.71662206925655e-01°)
1.33967668742593e+00	(-7.75736379035691e-04dB,-7.73440862597122e-01°)
1.34276496113786e+00	(-7.79316694291036e-04dB,-7.75223617041871e-01°)
1.34586035405594e+00	(-7.82913532564234e-04dB,-7.77010479698491e-01°)
1.34896288259164e+00	(-7.86526970090620e-04dB,-7.78801460027260e-01°)
1.35207256319427e+00	(-7.90157083455831e-04dB,-7.80596567510193e-01°)
1.35518941235103e+00	(-7.93803949611244e-04dB,-7.82395811651095e-01°)
1.35831344658715e+00	(-7.97467645852756e-04dB,-7.84199201975606e-01°)
1.36144468246594e+00	(-8.01148249835256e-04dB,-7.86006748031254e-01°)
1.36458313658892e+00	(-8.04845839572626e-04dB,-7.87818459387504e-01°)
1.36772882559584e+00	(-8.08560493444494e-04dB,-7.89634345635809e-01°)
1.37088176616484e+00	(-8.12292290177912e-04dB,-7.91454416389659e-01°)
1.37404197501251e+00	(-8.16041308873400e-04dB,-7.93278681284631e-01°)
1.37720946889394e+00	(-8.19807628992408e-04dB,-7.95107149978441e-01°)
1.38038426460288e+00	(-8.23591330372751e-04dB,-7.96939832150995e-01°)
1.38356637897177e+00	(-8.27392493204499e-04dB,-7.98776737504434e-01°)
1.38675582887188e+00	(-8.31211198055056e-04dB,-8.00617875763195e-01°)
1.38995263121334e+00	(-8.35047525869163e-04dB,-8.02463256674049e-01°)
1.39315680294529e+00	(-8.38901557951538e-04dB,-8.04312890006166e-01°)
1.39636836105593e+00	(-8.42773375999672e-04dB,-8.06166785551154e-01°)
1.39958732257261e+00	(-8.46663062070075e-04dB,-8.08024953123117e-01°)
1.40281370456195e+00	(-8.50570698609140e-04dB,-8.09887402558703e-01°)
1.40604752412990e+00	(-8.54496368438679e-04dB,-8.11754143717159e-01°)
1.40928879842186e+00	(-8.58440154764608e-04dB,-8.13625186480379e-01°)
1.41253754462274e+00	(-8.62402141175016e-04dB,-8.15500540752959e-01°)
1.41579377995707e+00	(-8.66382411647889e-04dB,-8.17380216462243e-01°)
1.41905752168908e+00	(-8.70381050539532e-04dB,-8.19264223558384e-01°)
1.42232878712281e+00	(-8.74398142605797e-04dB,-8.21152572014386e-01°)
1.42560759360218e+00	(-8.78433772984721e-04dB,-8.23045271826163e-01°)
1.42889395851109e+00	(-8.82488027213890e-04dB,-8.24942333012590e-01°)
1.43218789927353e+00	(-8.86560991215009e-04dB,-8.26843765615554e-01°)
1.43548943335364e+00	(-8.90652751320912e-04dB,-8.28749579700004e-01°)
1.43879857825583e+00	(-8.94763394251452e-04dB,-8.30659785354012e-01°)
1.44211535152486e+00	(-8.98893007130865e-04dB,-8.32574392688815e-01°)
1.44543977074592e+00	(-9.03041677487769e-04dB,-8.34493411838876e-01°)
1.44877185354475e+00	(-9.07209493243600e-04dB,-8.36416852961934e-01°)
1.45211161758773e+00	(-9.11396542736719e-04dB,-8.38344726239057e-01°)
1.45545908058195e+00	(-9.15602914706989e-04dB,-8.40277041874693e-01°)
1.45881426027534e+00	(-9.19828698310242e-04dB,-8.42213810096729e-01°)
1.46217717445671e+00	(-9.24073983098031e-04dB,-8.44155041156538e-01°)
1.46554784095590e+00	(-9.28338859059099e-04dB,-8.46100745329037e-01°)
1.46892627764385e+00	(-9.32623416575989e-04dB,-8.48050932912739e-01°)
1.47231250243271e+00	(-9.36927746453009e-04dB,-8.50005614229807e-01°)
1.47570653327588e+00	(-9.41251939922993e-04dB,-8.51964799626108e-01°)
1.47910838816819e+00	(-9.45596088629937e-04dB,-8.53928499471266e-01°)
1.48251808514594e+00	(-9.49960284638654e-04dB,-8.55896724158718e-01°)
1.48593564228699e+00	(-9.54344620446343e-04dB,-8.57869484105766e-01°)
1.48936107771090e+00	(-9.58749188971024e-04dB,-8.59846789753633e-01°)
1.49279440957898e+00	(-9.63174083566009e-04dB,-8.61828651567518e-01°)
1.49623565609442e+00	(-9.67619398001573e-04dB,-8.63815080036648e-01°)
1.49968483550236e+00	(-9.72085226502579e-04dB,-8.65806085674337e-01°)
1.50314196609001e+00	(-9.76571663705079e-04dB,-8.67801679018035e-01°)
1.50660706618673e+00	(-9.81078804697785e-04dB,-8.69801870629389e-01°)
1.51008015416413e+00	(-9.85606744997001e-04dB,-8.71806671094293e-01°)
1.51356124843619e+00	(-9.90155580565914e-04dB,-8.73816091022949e-01°)
1.51705036745932e+00	(-9.94725407808808e-04dB,-8.75830141049915e-01°)
1.52054752973248e+00	(-9.99316323573966e-04dB,-8.77848831834168e-01°)
1.52405275379728e+00	(-1.00392842516428e-03dB,-8.79872174059152e-01°)
1.52756605823806e+00	(-1.00856181031217e-03dB,-8.81900178432842e-01°)
1.53108746168202e+00	(-1.01321657721723e-03dB,-8.83932855687792e-01°)
1.53461698279928e+00	(-1.01789282452883e-03dB,-8.85970216581196e-01°)
1.53815464030302e+00	(-1.02259065135000e-03dB,-8.88012271894944e-01°)
1.54170045294954e+00	(-1.02731015723456e-03dB,-8.90059032435674e-01°)
1.54525443953840e+00	(-1.03205144221022e-03dB,-8.92110509034833e-01°)
1.54881661891247e+00	(-1.03681460674874e-03dB,-8.94166712548731e-01°)
1.55238700995807e+00	(-1.04159975179965e-03dB,-8.96227653858599e-01°)
1.55596563160506e+00	(-1.04640697876423e-03dB,-8.98293343870643e-01°)
1.55955250282694e+00	(-1.05123638952735e-03dB,-9.00363793516104e-01°)
1.56314764264094e+00	(-1.05608808642948e-03dB,-9.02439013751316e-01°)
1.56675107010813e+00	(-1.06096217228696e-03dB,-9.04519015557756e-01°)
1.57036280433354e+00	(-1.06585875040167e-03dB,-9.06603809942109e-01°)
1.57398286446620e+00	(-1.07077792453303e-03dB,-9.08693407936322e-01°)
1.57761126969933e+00	(-1.07571979893176e-03dB,-9.10787820597662e-01°)
1.58124803927037e+00	(-1.08068447832450e-03dB,-9.12887059008772e-01°)
1.58489319246110e+00	(-1.08567206792050e-03dB,-9.14991134277733e-01°)
1.58854674859776e+00	(-1.09068267342422e-03dB,-9.17100057538115e-01°)
1.59220872705115e+00	(-1.09571640100732e-03dB,-9.19213839949043e-01°)
1.59587914723672e+00	(-1.10077335734825e-03dB,-9.21332492695249e-01°)
1.59955802861465e+00	(-1.10585364961098e-03dB,-9.23456026987131e-01°)
1.60324539069002e+00	(-1.11095738545279e-03dB,-9.25584454060817e-01°)
1.60694125301286e+00	(-1.11608467303674e-03dB,-9.27717785178213e-01°)
1.61064563517825e+00	(-1.12123562100472e-03dB,-9.29856031627074e-01°)
1.61435855682647e+00	(-1.12641033851988e-03dB,-9.31999204721052e-01°)
1.61808003764305e+00	(-1.13160893523962e-03dB,-9.34147315799763e-01°)
1.62181009735891e+00	(-1.13683152132717e-03dB,-9.36300376228839e-01°)
1.62554875575047e+00	(-1.14207820744967e-03dB,-9.38458397399993e-01°)
1.62929603263970e+00	(-1.14734910479843e-03dB,-9.40621390731075e-01°)
1.63305194789432e+00	(-1.15264432506288e-03dB,-9.42789367666132e-01°)
1.63681652142779e+00	(-1.15796398045277e-03dB,-9.44962339675467e-01°)
1.64058977319952e+00	(-1.16330818370205e-03dB,-9.47140318255704e-01°)
1.64437172321491e+00	(-1.16867704804569e-03dB,-9.49323314929837e-01°)
1.64816239152549e+00	(-1.17407068725828e-03dB,-9.51511341247300e-01°)
1.65196179822900e+00	(-1.17948921563764e-03dB,-9.53704408784022e-01°)
1.65576996346951e+00	(-1.18493274800194e-03dB,-9.55902529142490e-01°)
1.65958690743754e+00	(-1.19040139969935e-03dB,-9.58105713951805e-01°)
1.66341265037015e+00	(-1.19589528661476e-03dB,-9.60313974867747e-01°)
1.66724721255104e+00	(-1.20141452516502e-03dB,-9.62527323572834e-01°)
1.67109061431069e+00	(-1.20695923229985e-03dB,-9.64745771776383e-01°)
1.67494287602642e+00	(-1.21252952551348e-03dB,-9.66969331214568e-01°)
1.67880401812254e+00	(-1.21812552284171e-03dB,-9.69198013650486e-01°)
1.68267406107045e+00	(-1.22374734285518e-03dB,-9.71431830874214e-01°)
1.68655302538872e+00	(-1.22939510469026e-03dB,-9.73670794702873e-01°)
1.69044093164324e+00	(-1.23506892801817e-03dB,-9.75914916980687e-01°)
1.69433780044731e+00	(-1.24076893305655e-03dB,-9.78164209579046e-01°)
1.69824365246172e+00	(-1.24649524059072e-03dB,-9.80418684396569e-01°)
1.70215850839493e+00	(-1.25224797195821e-03dB,-9.82678353359161e-01°)
1.70608238900310e+00	(-1.25802724905748e-03dB,-9.84943228420081e-01°)
1.71001531509027e+00	(-1.26383319434791e-03dB,-9.87213321560001e-01°)
1.71395730750840e+00	(-1.26966593085077e-03dB,-9.89488644787066e-01°)
1.71790838715757e+00	(-1.27552558215019e-03dB,-9.91769210136961e-01°)
1.72186857498599e+00	(-1.28141227241440e-03dB,-9.94055029672972e-01°)
1.72583789199018e+00	(-1.28732612637643e-03dB,-9.96346115486045e-01°)
1.72981635921508e+00	(-1.29326726933604e-03dB,-9.98642479694854e-01°)
1.73380399775412e+00	(-1.29923582718770e-03dB,-1.00094413444586e+00°)
1.73780082874935e+00	(-1.30523192639168e-03dB,-1.00325109191338e+00°)
1.74180687339159e+00	(-1.31125569399621e-03dB,-1.00556336429963e+00°)
1.74582215292048e+00	(-1.31730725763559e-03dB,-1.00788096383483e+00°)
1.74984668862464e+00	(-1.32338674553885e-03dB,-1.01020390277722e+00°)
1.75388050184174e+00	(-1.32949428651431e-03dB,-1.01253219341316e+00°)
1.75792361395867e+00	(-1.33563000996990e-03dB,-1.01486584805717e+00°)
1.76197604641161e+00	(-1.34179404591311e-03dB,-1.01720487905199e+00°)
1.76603782068614e+00	(-1.34798652494425e-03dB,-1.01954929876869e+00°)
1.77010895831740e+00	(-1.35420757827290e-03dB,-1.02189911960667e+00°)
1.77418948089014e+00	(-1.36045733770531e-03dB,-1.02425435399378e+00°)
1.77827941003890e+00	(-1.36673593565990e-03dB,-1.02661501438633e+00°)
1.78237876744807e+00	(-1.37304350517398e-03dB,-1.02898111326921e+00°)
1.78648757485203e+00	(-1.37938017988061e-03dB,-1.03135266315591e+00°)
1.79060585403527e+00	(-1.38574609404143e-03dB,-1.03372967658863e+00°)
1.79473362683250e+00	(-1.39214138253312e-03dB,-1.03611216613829e+00°)
1.79887091512876e+00	(-1.39856618085613e-03dB,-1.03850014440464e+00°)
1.80301774085955e+00	(-1.40502062512790e-03dB,-1.04089362401630e+00°)
1.80717412601090e+00	(-1.41150485210412e-03dB,-1.04329261763084e+00°)
1.81134009261958e+00	(-1.41801899916809e-03dB,-1.04569713793485e+00°)
1.81551566277311e+00	(-1.42456320433075e-03dB,-1.04810719764398e+00°)
1.81970085860996e+00	(-1.43113760624709e-03dB,-1.05052280950302e+00°)
1.82389570231961e+00	(-1.43774234419877e-03dB,-1.05294398628598e+00°)
1.82810021614272e+00	(-1.44437755813177e-03dB,-1.05537074079614e+00°)
1.83231442237119e+00	(-1.45104338861009e-03dB,-1.05780308586611e+00°)
1.83653834334832e+00	(-1.45773997686397e-03dB,-1.06024103435793e+00°)
1.84077200146893e+00	(-1.46446746477161e-03dB,-1.06268459916309e+00°)
1.84501541917945e+00	(-1.47122599486007e-03dB,-1.06513379320262e+00°)
1.84926861897805e+00	(-1.47801571031695e-03dB,-1.06758862942718e+00°)
1.85353162341479e+00	(-1.48483675499128e-03dB,-1.07004912081708e+00°)
1.85780445509167e+00	(-1.49168927338970e-03dB,-1.07251528038238e+00°)
1.86208713666284e+00	(-1.49857341069286e-03dB,-1.07498712116294e+00°)
1.86637969083464e+00	(-1.50548931274485e-03dB,-1.07746465622852e+00°)
1.87068214036577e+00	(-1.51243712606377e-03dB,-1.07994789867880e+00°)
1.87499450806739e+00	(-1.51941699784077e-03dB,-1.08243686164346e+00°)
1.87931681680324e+00	(-1.52642907594495e-03dB,-1.08493155828230e+00°)
1.88364908948977e+00	(-1.53347350893969e-03dB,-1.08743200178523e+00°)
1.88799134909627e+00	(-1.54055044605376e-03dB,-1.08993820537238e+00°)
1.89234361864495e+00	(-1.54766003721410e-03dB,-1.09245018229419e+00°)
1.89670592121112e+00	(-1.55480243304297e-03dB,-1.09496794583142e+00°)
1.90107827992327e+00	(-1.56197778484538e-03dB,-1.09749150929527e+00°)
1.90546071796322e+00	(-1.56918624462939e-03dB,-1.10002088602741e+00°)
1.90985325856621e+00	(-1.57642796511282e-03dB,-1.10255608940009e+00°)
1.91425592502106e+00	(-1.58370309969534e-03dB,-1.10509713281618e+00°)
1.91866874067026e+00	(-1.59101180250959e-03dB,-1.10764402970924e+00°)
1.92309172891013e+00	(-1.59835422838065e-03dB,-1.11019679354361e+00°)
1.92752491319091e+00	(-1.60573053285209e-03dB,-1.11275543781444e+00°)
1.93196831701690e+00	(-1.61314087218507e-03dB,-1.11531997604780e+00°)
1.93642196394658e+00	(-1.62058540336215e-03dB,-1.11789042180075e+00°)
1.94088587759275e+00	(-1.62806428408344e-03dB,-1.12046678866137e+00°)
1.94536008162263e+00	(-1.63557767278789e-03dB,-1.12304909024887e+00°)
1.94984459975802e+00	(-1.64312572863105e-03dB,-1.12563734021364e+00°)
1.95433945577537e+00	(-1.65070861150632e-03dB,-1.12823155223732e+00°)
1.95884467350596e+00	(-1.65832648205751e-03dB,-1.13083174003289e+00°)
1.96336027683602e+00	(-1.66597950164411e-03dB,-1.13343791734472e+00°)
1.96788628970682e+00	(-1.67366783239148e-03dB,-1.13605009794864e+00°)
1.97242273611482e+00	(-1.68139163715515e-03dB,-1.13866829565203e+00°)
1.97696964011183e+00	(-1.68915107955457e-03dB,-1.14129252429388e+00°)
1.98152702580507e+00	(-1.69694632395388e-03dB,-1.14392279774485e+00°)
1.98609491735734e+00	(-1.70477753548215e-03dB,-1.14655912990737e+00°)
1.99067333898716e+00	(-1.71264488002469e-03dB,-1.14920153471568e+00°)
1.99526231496885e+00	(-1.72054852423274e-03dB,-1.15185002613592e+00°)
1.99986186963271e+00	(-1.72848863552056e-03dB,-1.15450461816620e+00°)
2.00447202736513e+00	(-1.73646538208473e-03dB,-1.15716532483668e+00°)
2.00909281260870e+00	(-1.74447893288878e-03dB,-1.15983216020962e+00°)
2.01372424986236e+00	(-1.75252945768144e-03dB,-1.16250513837947e+00°)
2.01836636368153e+00	(-1.76061712697359e-03dB,-1.16518427347293e+00°)
2.02301917867824e+00	(-1.76874211209798e-03dB,-1.16786957964905e+00°)
2.02768271952125e+00	(-1.77690458514665e-03dB,-1.17056107109926e+00°)
2.03235701093619e+00	(-1.78510471900750e-03dB,-1.17325876204749e+00°)
2.03704207770569e+00	(-1.79334268738655e-03dB,-1.17596266675019e+00°)
2.04173794466950e+00	(-1.80161866476161e-03dB,-1.17867279949647e+00°)
2.04644463672464e+00	(-1.80993282644213e-03dB,-1.18138917460810e+00°)
2.05116217882553e+00	(-1.81828534852191e-03dB,-1.18411180643965e+00°)
2.05589059598411e+00	(-1.82667640792160e-03dB,-1.18684070937853e+00°)
2.06062991326997e+00	(-1.83510618236936e-03dB,-1.18957589784504e+00°)
2.06538015581050e+00	(-1.84357485041540e-03dB,-1.19231738629251e+00°)
2.07014134879101e+00	(-1.85208259143195e-03dB,-1.19506518920731e+00°)
2.07491351745488e+00	(-1.86062958561907e-03dB,-1.19781932110896e+00°)
2.07969668710366e+00	(-1.86921601400469e-03dB,-1.20057979655021e+00°)
2.08449088309726e+00	(-1.87784205845614e-03dB,-1.20334663011708e+00°)
2.08929613085401e+00	(-1.88650790166286e-03dB,-1.20611983642896e+00°)
2.09411245585086e+00	(-1.89521372718267e-03dB,-1.20889943013868e+00°)
2.09893988362349e+00	(-1.90395971939839e-03dB,-1.21168542593261e+00°)
2.10377843976644e+00	(-1.91274606354681e-03dB,-1.21447783853067e+00°)
2.10862814993326e+00	(-1.92157294572156e-03dB,-1.21727668268649e+00°)
2.11348903983661e+00	(-1.93044055287217e-03dB,-1.22008197318740e+00°)
2.11836113524847e+00	(-1.93934907280991e-03dB,-1.22289372485459e+00°)
2.12324446200018e+00	(-1.94829869421158e-03dB,-1.22571195254311e+00°)
2.12813904598268e+00	(-1.95728960662058e-03dB,-1.22853667114201e+00°)
2.13304491314654e+00	(-1.96632200045940e-03dB,-1.23136789557437e+00°)
2.13796208950220e+00	(-1.97539606701516e-03dB,-1.23420564079740e+00°)
2.14289060112002e+00	(-1.98451199848021e-03dB,-1.23704992180250e+00°)
2.14783047413050e+00	(-1.99366998790864e-03dB,-1.23990075361537e+00°)
2.15278173472434e+00	(-2.00287022925206e-03dB,-1.24275815129605e+00°)
2.15774440915263e+00	(-2.01211291736053e-03dB,-1.24562212993901e+00°)
2.16271852372698e+00	(-2.02139824797585e-03dB,-1.24849270467324e+00°)
2.16770410481966e+00	(-2.03072641774411e-03dB,-1.25136989066231e+00°)
2.17270117886371e+00	(-2.04009762421568e-03dB,-1.25425370310445e+00°)
2.17770977235312e+00	(-2.04951206585298e-03dB,-1.25714415723265e+00°)
2.18272991184296e+00	(-2.05896994203721e-03dB,-1.26004126831470e+00°)
2.18776162394952e+00	(-2.06847145305682e-03dB,-1.26294505165330e+00°)
2.19280493535041e+00	(-2.07801680012873e-03dB,-1.26585552258614e+00°)
2.19785987278479e+00	(-2.08760618540219e-03dB,-1.26877269648594e+00°)
2.20292646305342e+00	(-2.09723981195113e-03dB,-1.27169658876057e+00°)
2.20800473301886e+00	(-2.10691788378664e-03dB,-1.27462721485311e+00°)
2.21309470960560e+00	(-2.11664060585800e-03dB,-1.27756459024193e+00°)
2.21819641980018e+00	(-2.12640818406524e-03dB,-1.28050873044079e+00°)
2.22330989065136e+00	(-2.13622082524949e-03dB,-1.28345965099888e+00°)
2.22843514927026e+00	(-2.14607873720359e-03dB,-1.28641736750092e+00°)
